Sequence Length	Count of Sequences with Length
384	1
320	1
385	2
386	2
390	3
327	1
392	1
393	5
394	2
396	3
272	1
464	1
401	1
339	1
276	1
536	1
411	1
356	1
360	8
424	1
361	9
362	34
363	49
364	48
365	1957
366	126
367	1886
368	451
369	4379
370	1272
371	5331
372	2632
373	239
374	15
375	6
376	5
377	29
378	1
379	3
380	1
319	2
383	3
