Sequence Length	Count of Sequences with Length
384	3
385	6
386	1
388	1
390	1
392	6
393	3
394	1
395	1
396	4
269	2
397	1
398	1
399	1
400	1
531	1
534	1
284	2
540	2
428	1
311	1
312	1
442	1
443	1
320	2
328	1
334	1
351	1
357	1
359	1
360	7
361	7
362	44
363	89
364	59
365	2988
366	187
367	2716
368	633
369	5194
497	1
370	1747
371	6913
372	3464
373	251
374	36
375	7
376	12
377	40
378	11
379	9
508	1
382	5
383	1
