Sequence Length	Count of Sequences with Length
385	4
386	1
389	2
390	2
392	1
393	4
394	5
395	1
396	2
526	1
270	1
399	1
400	2
401	1
531	1
404	1
408	1
543	1
422	1
430	1
439	1
312	1
333	1
472	1
347	1
348	1
222	1
356	1
357	1
485	1
358	1
359	1
360	9
361	6
362	48
363	73
364	50
365	2556
366	138
367	2164
368	511
369	3846
370	1398
371	5716
372	2948
373	229
374	20
375	23
376	17
377	35
378	4
250	1
379	9
380	1
382	3
383	3
