Sequence Length	Count of Sequences with Length
385	13
386	3
387	3
388	1
390	5
391	3
392	5
393	12
394	2
395	2
396	1
398	2
399	1
400	5
272	1
401	2
402	3
403	1
531	1
404	1
405	1
406	1
408	1
284	1
425	2
427	1
311	1
439	1
440	1
313	1
448	1
321	1
457	1
332	1
336	1
464	1
472	1
345	1
351	1
356	1
358	1
359	1
360	12
361	14
489	1
362	75
363	140
364	93
365	4464
366	274
367	4538
368	940
369	8102
370	2249
371	11054
372	5692
373	472
374	43
375	30
376	30
377	96
378	22
379	17
380	2
382	4
255	1
383	6
