Sequence Length	Count of Sequences with Length
408	1
272	1
402	3
403	1
400	5
401	2
406	1
404	1
405	1
284	1
395	2
394	2
393	12
392	5
399	1
398	2
397	1
396	1
387	3
386	3
385	13
391	3
390	5
440	1
311	1
313	1
527	1
439	1
425	2
427	1
529	1
531	1
472	1
336	1
351	1
464	1
457	1
321	1
332	1
448	1
373	452
372	5442
375	31
374	42
369	7906
368	907
371	10707
370	2194
380	2
383	6
382	4
377	94
376	29
379	17
378	22
356	1
255	1
358	1
359	1
489	1
364	90
365	4388
366	268
367	4444
360	12
361	14
362	74
363	139
