id,,
G1-16S-0_S62_L001_R1_001.fastq,G1-16S-0_,G1-16S-0
G1-16S-0_S62_L001_R2_001.fastq,G1-16S-0_,G1-16S-0
G1-16S-15_S72_L001_R1_001.fastq,G1-16S-15,G1-16S-15
G1-16S-15_S72_L001_R2_001.fastq,G1-16S-15,G1-16S-15
G1-16S-2_S64_L001_R1_001.fastq,G1-16S-2_,G1-16S-2
G1-16S-2_S64_L001_R2_001.fastq,G1-16S-2_,G1-16S-2
G1-16S-22_S74_L001_R1_001.fastq,G1-16S-22,G1-16S-22
G1-16S-22_S74_L001_R2_001.fastq,G1-16S-22,G1-16S-22
G1-16S-29_S76_L001_R1_001.fastq,G1-16S-29,G1-16S-29
G1-16S-29_S76_L001_R2_001.fastq,G1-16S-29,G1-16S-29
G1-16S-4_S66_L001_R1_001.fastq,G1-16S-4_,G1-16S-4
G1-16S-4_S66_L001_R2_001.fastq,G1-16S-4_,G1-16S-4
G1-16S-43_S78_L001_R1_001.fastq,G1-16S-43,G1-16S-43
G1-16S-43_S78_L001_R2_001.fastq,G1-16S-43,G1-16S-43
G1-16S-57_S80_L001_R1_001.fastq,G1-16S-57,G1-16S-57
G1-16S-57_S80_L001_R2_001.fastq,G1-16S-57,G1-16S-57
G1-16S-6_S68_L001_R1_001.fastq,G1-16S-6_,G1-16S-6
G1-16S-6_S68_L001_R2_001.fastq,G1-16S-6_,G1-16S-6
G1-16S-8_S70_L001_R1_001.fastq,G1-16S-8_,G1-16S-8
G1-16S-8_S70_L001_R2_001.fastq,G1-16S-8_,G1-16S-8
G1-3U-0_S2_L001_R1_001.fastq,G1-3U-0_S,G1-3U-0
G1-3U-0_S2_L001_R2_001.fastq,G1-3U-0_S,G1-3U-0
G1-3U-15_S12_L001_R1_001.fastq,G1-3U-15_,G1-3U-15
G1-3U-15_S12_L001_R2_001.fastq,G1-3U-15_,G1-3U-15
G1-3U-2_S4_L001_R1_001.fastq,G1-3U-2_S,G1-3U-2
G1-3U-2_S4_L001_R2_001.fastq,G1-3U-2_S,G1-3U-2
G1-3U-22_S14_L001_R1_001.fastq,G1-3U-22_,G1-3U-22
G1-3U-22_S14_L001_R2_001.fastq,G1-3U-22_,G1-3U-22
G1-3U-29_S16_L001_R1_001.fastq,G1-3U-29_,G1-3U-29
G1-3U-29_S16_L001_R2_001.fastq,G1-3U-29_,G1-3U-29
G1-3U-4_S6_L001_R1_001.fastq,G1-3U-4_S,G1-3U-4
G1-3U-4_S6_L001_R2_001.fastq,G1-3U-4_S,G1-3U-4
G1-3U-43_S18_L001_R1_001.fastq,G1-3U-43_,G1-3U-43
G1-3U-43_S18_L001_R2_001.fastq,G1-3U-43_,G1-3U-43
G1-3U-57_S20_L001_R1_001.fastq,G1-3U-57_,G1-3U-57
